Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.001.0023,Alamance,MELVILLE 3,3635,3237,304,10,15,37,32,76,3559,309,18,0,0,35,32,2681,2407,2052,1939,106,0,7,835,881,3,333,744,873,3,319,87,7,0,12,0,0,0,0,4,1,0,2,950,1102,177,707,902,266
37.001.0024,Alamance,NORTH MELVILLE,3953,3147,647,11,14,74,60,202,3751,651,24,8,15,113,67,2944,2364,2661,2243,402,0,16,1306,978,3,374,941,955,3,344,353,19,0,30,0,0,0,0,12,4,0,0,1209,1452,214,822,1203,422
37.001.0025,Alamance,SOUTH MELVILLE,5656,4207,1211,13,39,108,78,235,5421,1229,24,4,8,135,90,4173,3114,3598,2817,749,0,32,1816,1228,3,551,1134,1186,3,494,667,34,0,48,0,0,0,0,15,8,0,9,1669,1929,328,1390,1438,442
37.001.0026,Alamance,BURLINGTON 4,2616,2114,388,6,12,66,30,132,2484,392,13,3,0,65,61,2014,1649,1871,1651,214,0,6,940,657,3,271,754,644,3,250,184,10,0,20,0,0,0,0,2,3,0,1,815,1056,178,558,779,356
37.001.0027,Alamance,BURLINGTON 5,2274,2086,62,5,45,58,18,121,2153,63,7,0,0,57,56,1879,1741,1728,1677,38,0,13,862,617,1,248,820,613,1,243,35,1,0,2,0,0,0,0,7,3,0,3,771,957,137,393,692,506
37.001.0028,Alamance,BURLINGTON 6,1949,1875,43,1,13,8,9,23,1926,46,6,0,0,17,6,1497,1444,1539,1504,21,0,14,703,663,0,173,679,656,0,169,19,1,0,1,0,0,0,0,5,6,0,3,747,792,126,330,754,329
37.001.0029,Alamance,BURLINGTON 7,5651,2532,2748,27,31,222,91,426,5225,2749,37,11,25,166,210,4149,1941,2798,1296,1480,0,22,1879,556,2,361,537,494,2,263,1330,56,0,94,0,0,0,0,12,6,0,4,1126,1672,229,939,1123,507
37.001.0030,Alamance,BURLINGTON 8,3706,2085,1189,14,129,208,81,596,3110,1188,30,9,20,333,205,2790,1695,2000,1351,611,0,38,1142,506,2,350,593,466,2,290,525,32,0,54,0,0,0,0,24,8,0,6,820,1180,206,758,665,371
37.001.0031,Alamance,BURLINGTON 9,1630,1512,37,8,46,15,12,31,1599,41,12,0,0,15,15,1259,1174,1186,1139,32,0,15,440,534,2,210,406,529,2,202,23,2,0,7,0,0,0,0,11,3,0,1,564,622,69,399,502,216
37.001.0032,Alamance,EAST BURLINGTON,3375,2101,741,28,71,353,81,625,2750,757,37,3,5,243,352,2525,1684,1598,1232,345,0,21,826,487,1,284,542,465,1,224,276,14,0,55,0,0,0,0,8,8,0,5,702,896,134,555,616,293
37.001.0033,Alamance,NORTH BURLINGTON,6221,2117,3478,24,85,419,98,862,5359,3480,37,27,24,391,416,4695,1729,3135,1046,2063,0,26,2380,376,4,375,540,284,2,220,1824,87,2,150,0,0,0,0,16,5,0,5,1248,1887,258,954,1223,700
37.001.0034,Alamance,SOUTH BURLINGTON,2383,1263,860,6,28,190,36,306,2077,872,12,5,1,108,186,1661,1006,1118,733,368,0,17,670,263,2,183,347,239,1,146,312,21,1,34,0,0,0,0,11,3,0,3,450,668,78,444,375,221
37.001.0035,Alamance,WEST BURLINGTON,2785,2411,219,6,19,104,26,137,2648,221,13,1,3,34,99,2211,1936,2056,1943,93,0,20,961,755,1,339,878,742,1,322,75,5,0,13,0,0,0,0,8,8,0,4,900,1156,177,655,790,434
37.001.0036,Alamance,BURLINGTON 10,2718,2220,351,5,47,74,21,149,2569,358,5,0,7,69,72,2098,1755,1738,1566,157,0,15,683,696,3,356,540,687,3,336,136,3,0,18,0,0,0,0,7,6,0,2,764,974,200,696,601,241
37.003.0037,Alexander,Ellendale,3195,3008,130,4,1,27,25,51,3144,133,16,0,7,17,26,2403,2269,1587,1538,43,1,5,658,758,0,171,618,755,0,165,37,1,0,5,0,1,0,0,3,1,0,1,674,913,138,494,707,248
37.003.0038,Alexander,Millers,2247,2014,161,1,37,27,7,64,2183,158,2,0,7,32,25,1632,1461,1120,1027,89,0,4,594,405,1,120,510,402,1,114,82,3,0,4,0,0,0,0,2,0,0,2,485,635,78,454,466,122
37.003.0039,Alexander,Wittenburg,1929,1871,14,0,37,0,7,21,1908,14,3,0,0,20,0,1459,1424,936,934,1,0,1,278,518,1,139,277,517,1,139,1,0,0,0,0,0,0,0,0,1,0,0,427,509,72,291,444,129
37.003.0040,Alexander,Bethlehem 1,3342,3252,10,4,54,10,12,30,3312,14,6,0,0,19,10,2592,2542,1951,1935,6,1,9,548,1092,2,309,544,1086,2,303,2,2,0,2,0,0,0,1,2,4,0,3,845,1106,134,701,892,224
37.003.0041,Alexander,Bethlehem 2,3973,3808,25,0,82,20,38,59,3914,28,17,0,2,35,19,2972,2895,3757,3639,105,1,12,1228,2020,2,507,1131,2010,2,496,93,7,0,5,0,0,0,1,4,3,0,5,1808,1949,212,1358,1759,428
37.003.0042,Alexander,Gwaltney 1,963,952,0,0,0,9,2,14,949,0,1,0,0,5,9,722,714,563,559,1,1,2,255,253,0,55,252,253,0,54,1,0,0,0,0,0,0,1,2,0,0,0,272,291,47,166,251,99
37.003.0043,Alexander,Gwaltney 2,1181,1089,40,1,0,40,11,67,1114,44,2,0,0,22,40,894,824,418,405,12,0,1,229,150,0,39,220,148,0,37,9,1,0,2,0,0,0,0,0,1,0,0,200,218,44,135,192,47
37.003.0044,Alexander,Little River,1418,1308,67,2,22,0,19,1,1417,72,7,0,0,1,0,1087,1012,717,677,37,0,3,308,327,0,82,276,322,0,79,30,5,0,2,0,0,0,0,2,0,0,1,331,386,54,227,323,113
37.003.0045,Alexander,Sharpes 1,3200,2967,100,14,14,77,28,129,3071,105,29,0,6,42,76,2388,2231,1818,1728,82,2,6,990,644,0,184,910,639,0,179,77,2,0,3,0,1,0,1,3,2,0,1,823,995,112,621,805,280
37.003.0046,Alexander,Sharpes 2,1441,1321,67,10,1,19,23,41,1400,69,14,4,3,13,16,1072,996,541,521,18,0,2,312,181,0,48,295,180,0,46,16,0,0,2,0,0,0,0,1,1,0,0,257,284,55,169,229,88
37.003.0047,Alexander,Sugar Loaf,1231,1190,8,0,0,21,12,23,1208,14,6,0,0,2,21,943,921,558,558,0,0,0,192,311,0,55,192,311,0,55,0,0,0,0,0,0,0,0,0,0,0,0,257,301,46,152,254,106
37.003.0048,Alexander,Taylorsville 1,2335,2140,59,6,48,50,32,94,2241,63,19,0,1,52,38,1723,1608,801,781,13,4,3,274,397,0,130,262,396,0,123,9,0,0,4,2,1,0,1,1,0,0,2,354,447,86,298,332,85
37.003.0049,Alexander,Taylorsville 2,2240,1761,386,4,6,57,26,93,2147,406,6,1,2,36,55,1679,1345,1019,821,190,1,7,501,403,0,115,331,390,0,100,168,10,0,12,0,0,0,1,2,3,0,2,453,566,85,353,436,145
37.003.0050,Alexander,Taylorsville 3,1618,1513,43,2,1,48,11,59,1559,46,5,0,2,10,47,1260,1186,869,845,24,0,0,389,370,0,110,370,369,0,106,19,1,0,4,0,0,0,0,0,0,0,0,372,497,78,286,368,137
37.003.0051,Alexander,Taylorsville 4,1822,1441,330,1,28,13,9,18,1804,335,2,2,0,5,13,1433,1163,987,853,126,0,8,506,365,0,116,383,357,0,113,116,7,0,3,0,0,0,0,7,1,0,0,422,565,71,281,416,219
37.003.0052,Alexander,Taylorsville 5,1468,1280,117,1,18,33,19,77,1391,123,12,0,0,42,30,1110,988,659,598,58,1,2,268,319,0,72,210,317,0,71,56,2,0,0,1,0,0,0,1,0,0,1,300,359,53,227,264,115
37.005.0053,Alleghany,Gap Civil,4177,3968,81,4,17,63,44,228,3949,83,26,1,5,141,63,3376,3202,3096,3040,51,2,3,2085,703,0,308,2037,700,0,303,47,0,0,4,0,1,0,1,1,2,0,0,1373,1723,218,759,1343,776
37.005.0054,Alleghany,Cranberry,429,376,9,9,0,20,15,58,371,0,21,0,10,14,20,373,324,282,278,1,3,0,175,83,0,24,175,82,0,21,0,0,0,1,0,1,0,2,0,0,0,0,136,146,16,66,131,69
37.005.0055,Alleghany,Glade Creek,1935,1837,20,9,0,62,7,117,1818,23,12,0,0,53,60,1499,1438,1381,1364,13,1,3,797,444,1,139,783,443,1,137,12,1,0,0,0,0,0,1,2,0,0,1,654,727,121,347,636,277
37.005.0056,Alleghany,Piney Creek,807,795,4,0,0,4,4,28,779,5,3,0,0,23,4,653,645,553,544,1,0,8,355,143,1,54,351,138,1,54,1,0,0,0,0,0,0,0,3,5,0,0,279,274,41,115,259,138
37.005.0057,Alleghany,Prathers Creek,774,756,3,0,0,5,10,16,758,4,6,0,0,11,5,642,626,455,446,8,1,0,280,127,0,48,272,127,0,47,8,0,0,0,0,0,0,1,0,0,0,0,219,236,31,102,223,99
37.005.0058,Alleghany,Whitehead,930,913,3,0,1,10,3,34,896,3,1,0,0,22,10,733,718,501,501,0,0,0,308,146,0,47,308,146,0,47,0,0,0,0,0,0,0,0,0,0,0,0,227,274,37,116,238,110
37.005.0059,Alleghany,Cherry Lane,1625,1572,11,6,4,23,9,49,1576,11,10,0,0,21,23,1328,1290,934,920,11,2,1,442,377,1,114,430,376,1,113,10,1,0,0,2,0,0,0,0,0,0,1,465,469,55,208,426,245
