Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.047.0535,Columbus,NORTH LEES,1217,1038,119,3,3,51,3,54,1163,121,3,1,0,4,50,923,803,878,775,95,5,3,595,175,0,108,505,171,0,99,86,3,0,6,2,0,0,3,2,1,0,0,412,466,89,275,392,122
37.047.0536,Columbus,SOUTH LEES,387,381,0,3,0,2,1,5,382,0,3,0,0,2,2,304,300,299,298,0,1,0,249,35,0,15,248,35,0,15,0,0,0,0,1,0,0,0,0,0,0,0,151,148,24,98,133,44
37.047.0537,Columbus,TATUM,3506,2026,1384,35,4,30,27,50,3456,1386,47,12,1,14,30,2572,1572,2251,1301,938,10,2,1916,173,1,161,1049,145,1,106,857,26,0,55,10,0,0,0,0,2,0,0,1036,1215,250,646,998,357
37.047.0538,Columbus,WEST LEES,995,866,74,2,1,35,17,88,907,76,5,0,0,43,35,749,660,532,484,45,2,1,389,81,0,62,345,79,0,60,42,1,0,2,1,1,0,0,1,0,0,0,255,277,52,170,222,88
37.047.0539,Columbus,WELCHES CREEK,1728,673,913,86,15,21,20,50,1678,917,93,9,0,35,14,1249,487,1127,433,647,43,4,917,120,1,89,297,98,1,37,584,19,0,44,32,3,0,8,4,0,0,0,484,643,123,333,501,170
37.049.0540,Craven,TRENT WOODS,4192,4092,45,0,17,25,13,27,4165,47,4,3,0,13,14,3194,3128,3971,3945,18,0,8,1843,1612,0,516,1825,1611,0,509,15,0,0,3,0,0,0,0,3,1,0,4,1894,2077,239,845,1941,946
37.049.0541,Craven,RHEMS,926,540,367,1,3,0,15,1,925,371,6,4,0,1,0,680,404,690,430,259,0,1,367,205,0,118,151,191,0,88,216,14,0,29,0,0,0,0,0,0,0,1,327,363,45,180,343,122
37.049.0542,Craven,RIVER BEND,2923,2727,167,3,13,1,12,30,2893,170,5,1,0,29,0,2513,2363,2940,2853,73,0,14,930,1405,1,604,866,1392,1,594,61,6,0,6,0,0,0,0,3,7,0,4,1356,1584,85,460,1132,1263
37.049.0543,Craven,CLARKS,1124,730,373,3,0,5,13,15,1109,377,7,0,3,6,5,854,586,958,683,269,3,3,580,257,0,121,330,249,0,104,247,6,0,16,1,2,0,0,2,0,0,1,441,517,91,265,448,154
37.049.0544,Craven,JASPER,3119,2057,961,6,3,56,36,83,3036,961,10,14,10,12,54,2283,1541,1847,1271,567,3,6,1155,464,3,225,648,438,3,182,501,26,0,40,2,0,0,1,4,0,0,2,859,988,179,585,843,240
37.049.0545,Craven,COVE CITY,1245,773,451,1,7,5,8,12,1233,449,6,0,2,3,5,976,608,979,555,421,0,3,697,232,0,50,297,221,0,37,399,9,0,13,0,0,0,0,1,2,0,0,461,518,97,263,454,165
37.049.0546,Craven,DOVER,834,434,396,1,1,0,2,2,832,397,1,0,0,1,0,641,348,680,376,302,2,0,514,120,0,46,241,108,0,27,272,11,0,19,1,1,0,0,0,0,0,0,313,367,60,185,308,127
37.049.0547,Craven,FORT BARNWELL,1437,898,493,4,2,24,16,72,1365,494,5,2,0,42,22,1115,705,934,632,301,0,1,633,199,0,102,359,187,0,86,274,11,0,16,0,0,0,0,0,1,0,0,404,530,77,254,441,162
37.049.0548,Craven,BRIDGETON,3923,3482,300,15,10,78,38,160,3763,304,29,0,0,78,69,2955,2653,2624,2436,173,5,10,1257,871,1,495,1121,852,1,462,135,13,0,25,0,2,0,3,1,4,0,5,1179,1445,233,800,1226,365
37.049.0549,Craven,TRUITT,716,682,17,2,4,0,11,16,700,21,8,1,0,16,0,535,511,492,480,9,0,3,247,169,0,76,239,167,0,74,8,1,0,0,0,0,0,0,0,1,0,2,235,257,38,158,238,58
37.049.0550,Craven,ERNUL,883,780,94,0,0,5,4,14,869,96,1,0,0,9,5,664,589,629,574,53,0,2,362,200,0,67,311,198,0,65,49,2,0,2,0,0,0,0,2,0,0,0,300,329,42,208,289,90
37.049.0551,Craven,VANCEBORO,5085,3200,1737,46,6,37,59,137,4948,1738,65,6,21,71,36,3902,2466,2680,1893,769,5,13,1751,599,2,328,1051,563,2,277,690,31,0,48,2,3,0,0,8,2,0,3,1215,1465,201,811,1207,461
37.049.0552,Craven,EPWORTH,1434,996,382,12,5,37,2,62,1372,378,13,0,4,15,37,1029,738,774,546,221,5,2,487,197,0,90,282,190,0,74,199,7,0,15,5,0,0,0,1,0,0,1,365,409,54,260,351,109
37.049.0553,Craven,GRANTHAM,7003,5514,1294,15,36,62,82,121,6882,1305,40,3,11,37,47,5269,4224,4813,4056,726,6,25,2365,1610,4,834,1734,1565,4,753,620,37,0,69,2,1,0,3,9,7,0,9,2231,2582,392,1473,2157,791
37.049.0554,Craven,CROATAN,2113,1829,216,3,29,13,23,46,2067,219,6,0,5,28,12,1601,1405,1549,1394,130,3,22,539,692,1,317,429,671,1,293,104,6,0,20,1,1,0,1,5,14,0,3,735,814,127,359,839,224
37.049.0555,Craven,WEST HAVELOCK,15660,11657,2325,120,359,686,513,1535,14125,2350,224,33,136,617,655,11448,8658,5410,4479,752,15,164,1914,2236,9,1251,1321,2092,8,1058,534,69,1,148,3,7,0,5,56,68,0,40,2290,3120,666,1888,2334,522
37.049.0556,Craven,HARLOWE,3359,1527,1728,11,22,19,52,46,3313,1730,25,1,12,14,15,2465,1128,1938,840,1083,3,12,1280,412,5,241,273,371,4,192,1002,34,1,46,0,2,0,1,5,5,0,2,886,1052,165,556,932,285
37.049.0557,Craven,FAIRFIELD HARBOUR,2363,2258,81,3,13,3,5,12,2351,83,5,1,0,10,2,2145,2062,2367,2300,59,0,8,565,1254,2,546,514,1250,2,534,47,1,0,11,0,0,0,0,4,3,0,1,1119,1248,59,245,874,1189
37.049.0558,Craven,BRICES CREEK,2063,1809,236,2,5,0,11,15,2048,238,5,1,4,11,0,1525,1331,1566,1387,174,1,4,642,631,0,293,481,623,0,283,160,4,0,10,0,1,0,0,1,3,0,0,749,817,108,401,857,200
37.049.0559,Craven,EAST HAVELOCK,8375,5448,2010,65,277,239,336,584,7791,2074,108,17,56,246,226,5907,4078,2792,2312,388,8,84,988,1154,5,645,682,1080,4,546,276,35,1,76,1,4,0,3,29,35,0,20,1182,1610,343,974,1205,270
37.049.0560,Craven,GEORGE STREET,3059,1341,1582,11,15,54,56,113,2946,1584,20,13,17,41,50,2355,1151,2495,1426,1059,4,6,1531,595,5,364,610,537,5,274,917,57,0,85,2,0,0,2,2,1,0,3,1037,1458,193,710,1054,538
37.049.0561,Craven,FORT TOTTEN,3777,1110,2582,8,10,22,45,71,3706,2584,14,4,22,20,22,2681,900,2185,818,1361,0,6,1534,351,2,298,370,268,1,179,1162,81,1,117,0,0,0,0,2,2,0,2,892,1293,222,646,905,412
37.049.0562,Craven,GROVER C FIELDS,2833,2130,632,12,16,20,23,48,2785,636,16,0,2,23,19,2195,1723,2444,2037,396,3,8,1403,702,0,339,1074,666,0,297,325,29,0,42,2,1,0,0,2,6,0,0,1080,1364,150,699,980,615
37.049.0563,Craven,H J McDONALD,5148,2608,2270,17,44,124,85,247,4901,2276,30,6,32,89,114,3798,2181,2630,1780,824,1,25,1440,714,1,475,765,659,1,355,668,43,0,113,0,0,0,1,7,12,0,6,1044,1586,280,876,1019,455
37.049.0564,Craven,GLENBURNIE PARK,3202,1555,1543,12,4,61,27,94,3108,1547,17,3,6,31,53,2430,1256,2559,1245,1290,3,21,1716,453,5,385,608,394,4,239,1100,52,1,137,3,0,0,0,5,7,0,9,1110,1449,218,752,1066,523
37.049.0565,Craven,WEST NEW BERN,4640,3775,684,15,63,51,52,114,4526,692,28,0,5,54,46,3780,3184,4201,3811,359,4,27,1672,1722,4,803,1359,1694,4,754,297,20,0,42,2,2,0,0,14,6,0,7,1980,2221,226,1092,1843,1040
37.051.0566,Cumberland,CROSS CREEK 1,3718,692,2857,47,50,33,39,79,3639,2835,53,10,37,8,31,2834,596,1840,374,1396,19,51,1344,230,1,265,183,128,1,62,1131,83,0,182,10,6,0,3,20,13,0,18,795,1045,231,554,741,314
37.051.0567,Cumberland,CROSS CREEK 2,2408,1035,1113,182,14,34,30,82,2326,1109,194,3,9,32,32,1778,840,1226,550,582,65,29,815,240,0,171,265,190,0,95,493,30,0,59,46,8,0,11,11,12,0,6,495,731,140,468,432,186
37.051.0568,Cumberland,CROSS CREEK 3,3585,1037,2139,32,72,165,140,313,3272,2145,47,14,50,78,159,2476,807,1667,587,943,13,124,945,341,5,376,185,236,3,163,686,79,2,176,8,3,0,2,66,23,0,35,715,952,258,835,509,65
37.051.0569,Cumberland,CROSS CREEK 4,1521,1225,195,24,20,13,44,63,1458,199,28,7,7,32,7,1266,1036,1170,1015,118,9,28,613,333,1,223,504,316,1,194,97,6,0,15,6,1,0,2,6,10,0,12,521,649,94,402,492,182
37.051.0570,Cumberland,CROSS CREEK 5,3583,751,2664,37,23,37,71,116,3467,2667,48,14,37,40,28,2509,657,2002,438,1490,11,63,1459,222,1,320,197,138,0,103,1222,68,0,200,6,2,1,2,34,14,0,15,790,1212,243,745,766,248
37.051.0571,Cumberland,CROSS CREEK 6,1879,1440,293,23,27,35,61,91,1788,307,32,5,14,38,32,1468,1170,1232,1027,166,6,33,577,391,4,260,434,366,4,223,129,9,0,28,5,1,0,0,9,15,0,9,544,688,135,443,464,190
37.051.0572,Cumberland,CROSS CREEK 7,1656,1421,145,19,17,33,21,73,1583,140,22,2,15,25,32,1307,1140,1209,1088,85,8,28,551,433,3,222,471,413,3,201,67,7,0,11,5,3,0,0,8,10,0,10,515,694,106,507,436,160
37.051.0573,Cumberland,CROSS CREEK 8,1714,1360,316,7,8,6,17,19,1695,319,7,2,1,14,4,1331,1070,1220,981,225,0,14,690,404,3,123,503,383,3,92,179,17,0,29,0,0,0,0,8,4,0,2,549,671,124,327,534,235
37.051.0574,Cumberland,CROSS CREEK 9,7104,3555,3031,33,110,186,189,498,6606,3044,64,12,56,232,172,5398,2813,4061,2220,1613,23,205,1998,1205,3,855,607,1045,2,566,1301,84,1,227,15,2,0,6,75,74,0,56,1809,2252,569,1552,1703,237
37.051.0575,Cumberland,CUMBERLAND 1,8101,4644,2573,98,220,221,345,544,7557,2627,170,11,71,201,206,5357,3223,3759,2395,1085,36,243,1521,1376,6,856,605,1196,5,589,821,71,1,192,13,16,0,7,82,93,0,68,1664,2095,393,1684,1564,118
37.051.0576,Cumberland,CUMBERLAND 2,3478,2315,803,55,101,96,108,258,3220,809,70,12,24,117,89,2487,1762,1943,1394,419,23,107,887,609,6,441,521,539,6,328,315,28,0,76,6,8,0,9,45,34,0,28,920,1023,192,742,783,226
37.051.0577,Cumberland,CUMBERLAND 3,3644,2268,982,86,75,111,122,203,3441,1016,118,5,15,64,99,2549,1682,1679,1159,398,35,87,740,512,0,427,386,449,0,324,303,21,0,74,17,11,0,7,34,31,0,22,736,943,235,733,616,95
37.051.0578,Cumberland,HOPE MILLS 1,9263,6554,1793,210,132,256,318,597,8666,1843,278,13,52,231,232,6188,4573,4487,3510,707,68,202,1816,1622,6,1043,1170,1489,5,846,544,44,1,118,34,17,0,17,68,72,0,62,1900,2587,546,2083,1593,265
37.051.0579,Cumberland,HOPE MILLS 2,8091,5595,1787,381,39,116,173,346,7745,1806,451,19,18,181,109,5542,3912,3398,2425,757,114,102,1603,1115,5,675,860,1018,5,542,631,34,0,92,65,33,0,16,47,30,0,25,1535,1863,343,1369,1435,251
37.051.0580,Cumberland,HOPE MILLS 3,1854,1591,152,16,25,49,21,98,1756,153,27,2,0,43,46,1370,1187,1186,1034,98,13,41,496,442,3,245,396,418,3,217,71,9,0,18,6,3,0,4,23,12,0,6,517,669,133,481,499,73
37.051.0581,Cumberland,MORGANTON ROAD,4863,2244,1877,62,269,185,226,530,4333,1904,78,12,71,255,169,3445,1656,2535,1264,972,15,284,1202,726,6,601,350,554,3,357,734,71,2,165,11,1,1,2,107,100,0,77,1181,1354,330,913,1132,160
37.051.0582,Cumberland,PEARCES MILL 2,8041,4712,2492,291,108,220,218,508,7533,2520,327,16,49,202,205,5458,3436,3477,2204,1001,115,157,1649,1046,7,775,724,906,7,567,787,70,0,144,75,21,0,19,63,49,0,45,1514,1963,438,1591,1230,218
37.051.0583,Cumberland,PEARCES MILL 3,2583,1726,651,96,22,36,52,98,2485,649,116,5,14,37,34,1956,1371,1302,928,304,36,34,699,355,1,247,416,318,1,193,247,20,0,37,23,6,0,7,13,11,0,10,587,715,143,458,575,126
37.051.0584,Cumberland,PEARCES MILL 4,3104,1887,876,137,34,74,96,138,2966,881,162,10,30,37,64,2217,1456,1515,1042,375,49,49,696,435,3,381,371,390,3,278,283,25,0,67,24,11,0,14,18,9,0,22,656,859,183,641,570,121
37.051.0585,Cumberland,ALDERMAN,5067,3791,936,199,27,55,59,113,4954,941,235,6,3,44,52,3623,2759,2484,1976,411,52,45,1208,804,5,467,805,759,5,407,356,16,0,39,32,12,0,8,15,17,0,13,1155,1329,238,817,1223,206
37.051.0586,Cumberland,ARRAN HILLS,4256,1966,1799,58,147,129,157,381,3875,1805,71,3,54,160,110,2842,1404,2423,1184,1061,20,158,1217,673,3,530,353,545,3,283,797,75,0,189,10,4,0,6,57,49,0,52,1038,1385,305,1065,958,95
37.051.0587,Cumberland,AUMAN,7402,3531,3025,72,202,232,340,594,6808,3055,148,44,72,253,219,5002,2540,3942,2016,1639,35,252,1872,1206,2,862,529,980,0,507,1242,120,2,275,16,9,0,10,85,97,0,70,1784,2158,505,1501,1768,168
37.051.0588,Cumberland,BEAVER DAM,1750,1354,322,23,13,24,14,41,1709,319,29,2,6,11,23,1340,1057,748,632,107,6,3,440,207,0,101,348,193,0,91,89,10,0,8,3,1,0,2,0,3,0,0,344,404,82,239,349,78
37.051.0589,Cumberland,BLACK RIVER,2343,1730,515,37,13,19,29,39,2304,516,52,3,1,14,18,1761,1311,930,715,192,12,11,490,314,0,126,315,297,0,103,166,8,0,18,7,3,0,2,2,6,0,3,420,510,119,313,381,117
37.051.0590,Cumberland,BRENTWOOD,3421,1715,1407,31,64,98,106,202,3219,1422,39,16,33,72,85,2491,1354,2005,1160,706,11,128,928,633,0,444,350,530,0,280,521,54,0,131,3,4,0,4,54,45,0,29,894,1111,258,845,772,130
37.051.0591,Cumberland,CROSS CREEK 10,1984,905,919,12,37,80,31,121,1863,915,13,5,11,37,64,1413,709,1132,592,497,7,36,643,296,0,193,227,261,0,104,400,25,0,72,4,3,0,0,12,7,0,17,464,668,157,380,479,116
37.051.0592,Cumberland,CROSS CREEK 11,2193,1278,681,116,11,64,43,104,2089,678,133,4,16,17,61,1716,1089,962,670,239,27,26,577,201,1,183,369,175,1,125,185,14,0,40,14,6,0,7,9,6,0,11,433,529,88,290,402,182
37.051.0593,Cumberland,CROSS CREEK 12,1979,1887,44,8,21,6,13,36,1943,44,9,1,1,30,5,1487,1422,1229,1177,28,0,24,558,505,2,164,533,495,1,148,19,2,1,6,0,0,0,0,6,8,0,10,553,676,115,316,585,213
37.051.0594,Cumberland,CROSS CREEK 13,3430,291,3074,16,10,13,26,32,3398,3076,16,5,14,4,12,2907,277,2607,121,2444,2,40,2080,149,0,378,59,33,0,29,1992,108,0,344,1,1,0,0,28,7,0,5,1052,1555,941,1034,424,208
37.051.0595,Cumberland,CROSS CREEK 14,4233,3005,601,46,225,203,153,398,3835,612,62,6,47,128,193,3233,2312,2444,1928,329,16,171,1012,943,8,481,692,856,7,373,247,29,1,52,4,6,0,6,69,52,0,50,1135,1309,372,937,952,183
37.051.0596,Cumberland,CROSS CREEK 15,3841,2839,733,30,96,54,89,122,3719,754,47,7,9,47,52,3018,2336,2172,1765,331,14,62,987,761,5,419,702,716,5,342,258,25,0,48,8,0,0,6,19,20,0,23,957,1215,253,804,872,243
37.051.0597,Cumberland,CROSS CREEK 16,2628,56,2539,3,4,4,22,16,2612,2548,3,5,7,6,3,2081,39,1723,26,1676,2,19,1464,77,0,182,10,9,0,7,1443,63,0,170,1,0,0,1,10,5,0,4,741,982,204,546,692,281
37.051.0598,Cumberland,CROSS CREEK 17,4210,746,3249,18,68,49,80,108,4102,3258,20,14,36,26,37,3013,610,2476,496,1890,13,77,1725,304,7,440,164,181,4,147,1520,100,3,267,3,3,0,7,38,20,0,19,1051,1425,338,961,1029,148
37.051.0599,Cumberland,CROSS CREEK 18,2198,1678,379,8,50,46,37,45,2153,391,14,2,3,22,20,1768,1406,1547,1266,220,7,54,809,504,0,234,603,470,0,193,182,11,0,27,3,1,0,3,21,22,0,11,652,895,143,458,650,296
37.051.0600,Cumberland,CROSS CREEK 19,2043,79,1905,10,5,8,36,24,2019,1915,11,5,12,1,8,1349,66,1127,51,1048,4,24,897,75,1,154,23,14,0,14,857,57,1,133,1,1,0,2,16,3,0,5,418,709,152,440,395,140
37.051.0601,Cumberland,CROSS CREEK 20,2240,1683,362,74,27,33,61,108,2132,367,91,1,14,47,32,1725,1373,1273,1021,183,37,32,614,434,1,224,438,398,1,184,139,15,0,29,24,10,0,3,13,11,0,8,577,696,107,425,516,225
37.051.0602,Cumberland,CROSS CREEK 21,5449,2514,2411,43,121,175,185,321,5128,2455,77,9,34,104,165,4105,2086,3193,1745,1301,19,128,1686,859,6,642,617,728,5,395,1011,79,1,210,11,5,0,3,47,47,0,34,1397,1796,416,1341,1150,286
37.051.0603,Cumberland,CROSS CREEK 22,6011,3507,2070,46,120,126,142,270,5741,2094,68,15,35,119,100,4678,2935,3117,1937,1039,14,127,1457,998,3,659,620,869,1,447,788,78,2,171,6,5,0,3,43,46,0,38,1370,1747,482,1284,1070,281
37.051.0604,Cumberland,CROSS CREEK 23,7253,4836,1808,50,196,157,206,416,6837,1844,71,14,39,195,137,5285,3683,3931,2727,968,10,226,1620,1417,1,893,801,1293,1,632,736,53,0,179,2,6,0,2,81,65,0,80,1756,2175,443,1630,1666,192
37.051.0605,Cumberland,CROSS CREEK 24,1758,1120,418,17,69,86,48,143,1615,427,21,4,9,43,81,1353,933,1031,742,228,1,60,434,322,1,274,242,284,1,215,170,17,0,41,0,1,0,0,22,20,0,18,472,559,124,448,368,91
37.051.0606,Cumberland,CROSS CREEK 25,2726,1497,914,15,121,86,93,241,2485,914,22,8,22,124,72,1956,1139,1452,873,462,7,110,598,516,4,334,205,453,2,213,355,23,2,82,5,0,0,2,33,40,0,37,673,779,175,490,708,79
37.051.0607,Cumberland,CROSS CREEK 26,5658,2505,2445,55,301,166,186,412,5246,2449,78,14,59,151,152,4316,2058,2964,1246,1481,19,218,1563,791,3,607,295,634,2,315,1191,85,1,204,5,6,0,8,72,66,0,80,1322,1642,387,1239,1181,157
37.051.0608,Cumberland,CROSS CREEK 27,8176,3836,3229,88,263,389,371,926,7250,3244,120,33,144,342,353,5868,3059,3614,2028,1275,19,292,1608,1089,3,914,524,925,3,576,957,80,0,238,11,2,0,6,116,82,0,94,1489,2125,523,1979,1020,92
37.051.0609,Cumberland,CROSS CREEK 28,5356,1163,3720,33,140,112,188,213,5143,3759,46,52,37,59,97,3642,842,2891,636,2126,17,112,1977,435,5,474,197,282,0,157,1718,119,5,284,8,6,0,3,54,28,0,30,1202,1689,325,1118,1227,221
37.051.0610,Cumberland,CROSS CREEK 29,4891,2285,2099,46,109,219,133,418,4473,2108,59,7,42,148,194,3585,1810,2590,1337,1085,14,154,1334,713,4,539,406,595,2,334,855,65,2,163,2,7,0,5,71,46,0,37,1130,1460,368,1103,918,201
37.051.0611,Cumberland,CROSS CREEK 30,2584,1719,605,47,53,68,92,176,2408,623,67,11,19,74,65,1955,1388,1512,1113,320,10,69,758,441,6,307,481,400,6,226,252,14,0,54,3,2,0,5,22,25,0,22,637,875,149,584,559,220
37.051.0612,Cumberland,CROSS CREEK 31,3893,2459,974,83,61,168,148,343,3550,984,112,19,40,123,159,2803,1875,2201,1517,542,23,119,1018,707,5,471,547,628,5,337,412,34,0,96,14,6,0,3,45,39,0,35,974,1227,272,932,793,204
37.051.0613,Cumberland,CROSS CREEK 32,2258,589,1378,7,110,60,114,148,2110,1389,21,14,35,59,39,1604,449,1259,329,836,6,88,749,230,1,279,78,153,1,97,641,51,0,144,2,0,0,4,28,26,0,34,532,727,162,500,526,71
37.051.0614,Cumberland,CROSS CREEK 33,3919,1941,1516,35,173,99,155,259,3660,1545,50,27,33,116,90,2920,1543,2197,1146,901,6,144,1087,666,3,441,331,547,2,266,695,54,1,151,3,2,0,1,58,63,0,23,995,1202,222,656,1064,255
37.051.0615,Cumberland,CROSS CREEK 34,2910,2068,494,21,183,48,96,125,2785,513,34,5,10,67,39,2118,1545,1709,1368,236,12,93,712,720,0,277,503,663,0,202,173,19,0,44,2,6,0,4,34,32,0,27,765,944,193,540,812,164
37.051.0616,Cumberland,CEDAR CREEK,3028,1789,1040,113,4,30,52,64,2964,1046,131,12,8,18,29,2126,1304,1499,926,522,23,28,877,372,3,247,418,326,2,180,435,33,1,53,13,4,0,6,11,9,0,8,679,820,167,509,685,138
37.051.0617,Cumberland,CLIFFDALE WEST,8717,3968,3600,54,275,395,425,882,7835,3658,103,30,109,316,369,5499,2601,3993,1900,1739,19,335,1826,1223,5,939,372,966,4,558,1319,124,1,295,10,7,0,2,125,126,0,84,1775,2218,490,1691,1735,77
37.051.0618,Cumberland,EASTOVER,6023,4269,1483,109,17,63,82,147,5876,1510,135,1,12,56,59,4659,3355,3049,2222,746,31,50,1727,875,11,436,1053,812,8,349,637,41,3,65,16,9,0,6,21,13,0,16,1418,1631,371,984,1341,353
37.051.0619,Cumberland,JUDSON/VANDER,4726,3192,1184,165,50,47,88,97,4629,1202,194,4,8,37,41,3510,2475,2401,1738,564,64,35,1280,763,0,358,752,705,0,281,477,33,0,54,39,13,0,12,12,12,0,11,1086,1315,256,791,1134,220
37.051.0620,Cumberland,LINDEN,4029,3177,672,29,35,47,69,134,3895,688,42,7,12,67,42,2877,2317,2101,1675,354,13,59,915,754,3,429,600,707,3,365,285,22,0,47,10,3,0,0,20,22,0,17,989,1112,233,728,998,142
37.051.0621,Cumberland,LONG HILL,4300,2862,1160,37,60,81,100,196,4104,1155,53,9,35,80,64,2958,1987,2380,1579,704,15,82,1103,783,3,491,489,724,1,365,576,25,2,101,9,4,0,2,29,30,0,23,1064,1316,266,868,1087,159
37.051.0622,Cumberland,LAKE RIM,5029,1631,2749,45,152,254,198,565,4464,2759,63,27,82,207,238,3157,1076,2315,788,1310,16,201,1264,530,2,519,188,385,1,214,991,76,1,242,9,3,0,4,76,66,0,59,1046,1269,315,945,997,58
37.051.0623,Cumberland,MANCHESTER,34547,20248,8777,390,973,2642,1517,5020,29527,8916,574,99,414,1653,2543,25491,15565,7680,4186,2622,51,821,3007,2527,28,2118,844,1986,22,1334,1813,252,5,552,16,18,1,16,334,271,0,216,4035,3645,2112,4198,1245,125
37.051.0624,Cumberland,MONTIBELLO,2730,1248,1167,23,42,143,107,275,2455,1174,33,9,33,83,138,1772,857,1110,549,496,3,62,551,295,1,263,143,239,1,166,384,35,0,77,2,1,0,0,22,20,0,20,501,609,149,542,364,55
37.051.0625,Cumberland,SHERWOOD,2799,1906,705,106,5,30,47,98,2701,702,129,13,7,46,29,1958,1364,1648,1157,429,22,40,841,481,0,326,447,448,0,262,365,22,0,42,13,3,0,6,16,8,0,16,751,897,194,641,699,114
37.051.0626,Cumberland,SPRING LAKE,8098,2751,4139,67,321,395,425,963,7135,4189,112,46,139,360,373,5645,2119,4022,1391,2252,24,355,2174,874,11,963,418,535,8,430,1600,206,3,443,11,11,0,2,145,122,0,88,1753,2269,656,1796,1396,174
37.051.0627,Cumberland,STONEY POINT,6628,5379,761,171,81,72,164,262,6366,792,207,12,20,148,61,4688,3885,3651,3108,374,78,91,1448,1489,3,711,1084,1411,3,610,288,26,0,60,43,20,0,15,33,32,0,26,1729,1922,353,1231,1802,265
37.051.0628,Cumberland,STEDMAN,5081,4155,666,94,23,73,70,114,4967,671,123,2,14,30,66,3796,3127,2380,1982,339,29,30,1070,868,4,438,772,829,4,377,270,22,0,47,17,6,0,6,11,11,0,8,1107,1273,260,894,1041,185
37.051.0629,Cumberland,WADE,1315,1085,171,22,10,17,10,38,1277,172,27,1,0,22,16,995,828,944,695,227,14,8,542,265,2,135,319,255,2,119,211,6,0,10,6,4,0,4,6,0,0,2,445,499,99,352,380,113
37.051.0630,Cumberland,WEST AREA,7663,2808,4147,83,142,206,277,515,7148,4174,112,41,109,156,187,5337,2234,4130,1623,2295,24,188,2372,884,8,866,500,675,5,443,1771,149,3,372,14,7,0,3,87,53,0,48,1809,2321,625,1740,1558,207
37.053.0631,Currituck,COROVA BEACH,153,150,0,1,0,1,1,1,152,0,2,0,0,0,1,133,130,92,91,0,0,1,49,19,0,24,48,19,0,24,0,0,0,0,0,0,0,0,1,0,0,0,49,43,5,17,58,12
37.053.0632,Currituck,COURTHOUSE,3320,3088,168,8,8,13,35,56,3264,176,27,0,3,34,12,2380,2227,2228,2110,98,4,16,1055,611,5,557,962,603,5,540,88,1,0,9,0,0,0,4,5,7,0,4,1044,1184,233,629,1069,297
37.053.0633,Currituck,CHURCH'S ISLAND,278,270,0,2,0,0,6,3,275,0,6,0,0,3,0,225,218,233,232,0,0,1,133,52,0,48,132,52,0,48,0,0,0,0,0,0,0,0,1,0,0,0,106,127,19,64,94,56
37.053.0634,Currituck,COINJOCK,1258,972,225,20,8,16,17,55,1203,228,26,0,0,27,15,964,755,560,461,91,1,7,342,107,0,111,262,100,0,99,76,5,0,10,0,1,0,0,4,1,0,2,231,329,62,162,225,111
37.053.0635,Currituck,GIBBS WOODS,435,427,1,0,2,0,5,5,430,1,2,0,0,5,0,321,315,281,276,1,0,4,113,91,0,77,109,91,0,76,1,0,0,0,0,0,0,0,3,0,0,1,134,147,41,87,132,21
37.053.0636,Currituck,INDIAN RIDGE,1084,877,178,4,7,12,6,9,1075,179,7,0,0,4,5,836,686,846,692,149,0,5,550,140,2,154,408,139,2,143,139,1,0,9,0,0,0,0,3,0,0,2,389,457,88,229,390,139
37.053.0637,Currituck,KNOTTS ISLAND,1390,1374,0,3,6,0,7,14,1376,0,4,0,0,13,0,1026,1016,847,844,0,0,3,348,278,2,219,348,277,2,217,0,0,0,0,0,0,0,0,0,1,0,2,402,445,75,232,429,111
37.053.0638,Currituck,MOYOCK,4212,3793,319,19,25,10,46,62,4150,335,28,0,2,47,6,2997,2692,2760,2464,264,5,27,1151,849,6,754,899,832,6,727,239,8,0,17,4,0,0,1,9,9,0,9,1319,1441,319,938,1210,293
37.053.0639,Currituck,POPLAR BRANCH,3624,3236,286,23,16,26,37,30,3594,287,48,2,1,11,14,2786,2510,2313,2115,172,6,20,1287,547,5,474,1122,535,5,453,153,7,0,12,2,1,0,3,10,4,0,6,1079,1234,246,632,990,445
37.053.0640,Currituck,POWELLS POINT,1941,1777,133,3,3,11,14,23,1918,134,6,2,0,13,10,1475,1360,1185,1065,108,5,7,646,310,0,229,541,305,0,219,101,2,0,5,4,1,0,0,0,2,0,5,528,657,121,331,501,232
37.053.0641,Currituck,WHALEHEAD,495,481,8,0,2,2,2,3,492,8,1,0,0,1,2,440,430,316,314,0,1,1,98,122,1,95,97,122,1,94,0,0,0,0,0,0,0,1,1,0,0,0,161,155,20,66,188,42
