"Key_","County","Precinct","PL00AA_TOT","PL00AA_W_SR","PL00AA_B_SR","PL00AA_NA_SR","PL00AA_API_SR","PL00AA_O_SR","PL00AA_MR","PL00AA_HISP","PL00AA_NONHISP","PL00AA_AP_B","PL00AA_AP_NA","PL00AA_AP_BNA","PL00AA_H_AP_B","PL00AA_HW_SR","PL00AA_HO_SR","PL00VA_TOT","PL00VA_W_SR","PL00VA_B_SR","PL00VA_NA_SR","PL00VA_API_SR","PL00VA_O_SR","PL00VA_MR","PL00VA_HISP","PL00VA_NONHISP","PL00VA_AP_B","PL00VA_AP_NA","PL00VA_AP_BNA","PL00VA_H_AP_B","PL00VA_HW_SR","PL00VA_HO_SR","REG00G_TOT","REG00G_W","REG00G_B","REG00G_NA","REG00G_O","REG00G_D","REG00G_R","REG00G_L","REG00G_U","REG00G_WD","REG00G_WR","REG00G_WL","REG00G_WU","REG00G_BD","REG00G_BR","REG00G_BL","REG00G_BU","REG00G_NAD","REG00G_NAR","REG00G_NAL","REG00G_NAU","REG00G_OD","REG00G_OR","REG00G_OL","REG00G_OU","REG00G_M","REG00G_F","REG00G_1825","REG00G_2640","REG00G_4165","REG00G_66UP","EL98G_USS_D","EL98G_USS_R","EL98G_USS_L","EL00P_SA_D_RC","EL00P_SA_D_PC","EL00P_GOV_D_ME","EL00P_GOV_D_DW","EL00P_GOV_D_O","EL00P_GOV_R_LD","EL00P_GOV_R_AM","EL00P_GOV_R_CN","EL00P_GOV_R_RV","EL00G_GOV_D","EL00G_GOV_R","EL00G_GOV_O","EL00G_CJ_D","EL00G_CJ_R","EL00G_SA_D","EL00G_SA_R","EL00G_USH_D","EL00G_USH_R","EL00G_USH_O","EL00G_NCH_D","EL00G_NCH_R","EL00G_NCH_T","EL00G_NCS_D","EL00G_NCS_R","EL00G_NCS_T"
"37.001.0013","Alamance","GRAHAM 3",4865,2944,1217,32,46,533,93,935,3930,1230,40,9,11,339,526,3620,2386,805,21,37,318,53,582,3038,803,28,6,5,223,314,2423,1850,557,0,16,1348,693,2,380,856,668,2,324,488,17,0,52,0,0,0,0,4,8,0,4,1094,1329,195,748,1007,473,467,427,23,116,95,123,102,14,50,0,10,35,645,484,8,638,477,590,471,0,633,61,624,534,0,578,543,0
"37.001.0014","Alamance","GRAHAM 4",4302,3510,403,12,44,290,43,627,3675,405,15,2,15,307,286,3271,2768,268,10,30,173,22,378,2893,267,11,2,8,189,170,2721,2531,164,0,26,1199,1089,0,433,1045,1072,0,414,141,8,0,15,0,0,0,0,13,9,0,4,1289,1432,242,821,1194,464,381,642,24,127,87,118,127,10,91,5,17,94,515,791,20,528,759,458,771,0,1053,56,510,819,0,466,823,0
"37.001.0015","Alamance","EAST GRAHAM",3443,2542,776,18,17,72,18,234,3209,776,19,1,11,150,70,2700,2089,532,11,15,47,6,161,2539,524,12,0,8,103,47,2142,1798,321,0,23,1112,687,5,338,831,670,5,292,269,10,0,42,0,0,0,0,12,7,0,4,936,1206,194,633,800,515,399,459,11,139,94,169,115,17,55,3,21,48,455,448,26,444,470,413,450,0,602,80,449,494,0,414,507,0
"37.001.0016","Alamance","NORTH GRAHAM",4483,2850,1260,25,41,235,72,702,3781,1273,35,6,9,428,229,3246,2200,818,17,23,152,36,483,2763,817,22,6,4,308,149,2122,1565,538,0,19,1181,582,2,357,705,552,2,306,465,28,0,45,0,0,0,0,11,2,0,6,862,1260,201,715,801,405,365,313,18,80,60,94,66,11,30,1,8,24,477,373,14,477,364,439,365,0,465,50,460,423,0,432,418,0
"37.001.0017","Alamance","SOUTH GRAHAM",3751,3100,485,14,33,67,52,264,3487,489,25,11,6,192,61,2951,2519,335,8,26,37,26,167,2784,333,16,7,3,126,37,2255,2022,214,0,19,1072,845,4,334,883,830,4,305,181,9,0,24,0,0,0,0,8,6,0,5,1015,1240,213,727,958,357,357,472,17,110,86,141,85,7,52,1,17,49,467,560,23,425,594,390,584,0,800,79,442,642,0,388,638,0
"37.001.0018","Alamance","WEST GRAHAM",2014,1451,346,6,72,99,40,265,1749,362,14,3,3,156,96,1573,1207,228,6,50,65,17,175,1398,230,12,1,3,105,64,1237,1071,149,0,17,598,409,5,225,465,397,5,204,125,8,0,16,0,0,0,0,8,4,0,5,522,715,95,450,435,257,191,230,12,50,34,55,37,7,28,0,4,32,250,273,11,246,285,235,273,0,379,42,239,316,0,205,324,0
"37.001.0019","Alamance","NORTH NEWLIN",3410,2960,308,13,5,79,45,141,3269,310,31,2,12,41,77,2490,2175,234,12,2,49,18,86,2404,228,23,2,7,25,48,1884,1680,194,0,10,859,676,4,345,685,666,4,325,169,8,0,17,0,0,0,0,5,2,0,3,896,988,176,621,883,204,284,386,18,56,70,96,53,11,51,3,15,20,442,546,20,409,545,395,513,0,732,80,406,620,0,378,579,0
"37.001.0020","Alamance","SOUTH NEWLIN",1782,1637,84,9,5,26,21,58,1724,87,11,3,1,28,25,1299,1208,58,6,2,13,12,29,1270,58,8,3,1,15,13,993,953,35,0,5,419,417,2,155,389,413,2,149,28,2,0,5,0,0,0,0,2,2,0,1,480,513,80,305,472,136,153,246,5,51,26,66,23,5,31,0,14,33,242,330,16,233,338,203,348,0,462,42,219,378,0,198,372,0
"37.001.0021","Alamance","NORTH THOMPSON",2277,1802,425,0,3,22,25,63,2214,425,14,2,2,38,21,1725,1360,333,0,3,14,15,41,1684,332,10,2,2,24,14,1671,1397,270,0,4,820,605,1,245,584,586,1,226,234,18,0,18,0,0,0,0,2,1,0,1,795,876,119,518,846,188,312,325,12,65,68,112,63,7,54,4,13,47,430,429,15,426,410,383,405,0,609,65,407,474,0,353,479,0
"37.001.0022","Alamance","SOUTH THOMPSON",4848,3951,646,31,16,147,57,292,4556,652,56,5,4,128,142,3550,2924,476,23,14,86,27,182,3368,475,40,3,4,84,86,2572,2190,361,0,21,1232,842,5,493,895,826,5,464,326,8,0,27,0,0,0,0,11,8,0,2,1171,1401,198,928,1174,272,377,437,17,80,72,104,77,11,38,0,7,34,605,630,34,571,640,502,651,0,875,105,529,748,0,522,706,0
"37.001.0023","Alamance","MELVILLE 3",3635,3237,304,10,15,37,32,76,3559,309,18,0,0,35,32,2681,2407,212,8,11,22,21,48,2633,214,16,0,0,23,21,2052,1939,106,0,7,835,881,3,333,744,873,3,319,87,7,0,12,0,0,0,0,4,1,0,2,950,1102,177,707,902,266,276,436,15,77,63,101,67,12,53,3,17,56,428,635,15,433,600,383,615,0,828,52,407,694,0,374,674,0
"37.001.0024","Alamance","NORTH MELVILLE",3953,3147,647,11,14,74,60,202,3751,651,24,8,15,113,67,2944,2364,476,7,12,49,36,143,2801,473,18,6,10,80,49,2661,2243,402,0,16,1306,978,3,374,941,955,3,344,353,19,0,30,0,0,0,0,12,4,0,0,1209,1452,214,822,1203,422,452,604,18,118,81,153,76,14,70,3,19,41,696,699,20,655,741,619,715,0,919,90,654,774,0,598,792,0
"37.001.0025","Alamance","SOUTH MELVILLE",5656,4207,1211,13,39,108,78,235,5421,1229,24,4,8,135,90,4173,3114,905,11,30,70,43,160,4013,908,20,2,5,92,62,3598,2817,749,0,32,1816,1228,3,551,1134,1186,3,494,667,34,0,48,0,0,0,0,15,8,0,9,1669,1929,328,1390,1438,442,622,604,18,153,147,220,134,17,58,2,21,59,943,825,21,923,811,822,828,0,981,97,872,915,0,855,892,0
"37.001.0026","Alamance","BURLINGTON 4",2616,2114,388,6,12,66,30,132,2484,392,13,3,0,65,61,2014,1649,292,6,7,44,16,92,1922,295,10,2,0,50,41,1871,1651,214,0,6,940,657,3,271,754,644,3,250,184,10,0,20,0,0,0,0,2,3,0,1,815,1056,178,558,779,356,380,440,13,122,75,122,127,5,45,2,15,74,460,486,17,466,468,420,455,0,642,55,460,511,0,446,496,0
"37.001.0027","Alamance","BURLINGTON 5",2274,2086,62,5,45,58,18,121,2153,63,7,0,0,57,56,1879,1741,47,4,32,43,12,88,1791,47,6,0,0,39,42,1728,1677,38,0,13,862,617,1,248,820,613,1,243,35,1,0,2,0,0,0,0,7,3,0,3,771,957,137,393,692,506,317,444,20,106,63,133,77,10,47,1,22,52,403,481,15,402,473,336,480,0,648,46,365,546,0,340,544,0
"37.001.0028","Alamance","BURLINGTON 6",1949,1875,43,1,13,8,9,23,1926,46,6,0,0,17,6,1497,1444,34,1,10,6,2,16,1481,34,3,0,0,11,5,1539,1504,21,0,14,703,663,0,173,679,656,0,169,19,1,0,1,0,0,0,0,5,6,0,3,747,792,126,330,754,329,330,559,10,126,82,140,115,10,51,2,27,129,319,567,11,360,502,269,515,0,698,39,343,499,0,333,546,0
"37.001.0029","Alamance","BURLINGTON 7",5651,2532,2748,27,31,222,91,426,5225,2749,37,11,25,166,210,4149,1941,1968,24,24,143,49,287,3862,1956,31,6,20,114,135,2798,1296,1480,0,22,1879,556,2,361,537,494,2,263,1330,56,0,94,0,0,0,0,12,6,0,4,1126,1672,229,939,1123,507,707,222,12,160,75,144,137,11,17,0,2,23,988,301,15,1006,285,962,306,0,381,39,947,342,0,938,357,0
"37.001.0030","Alamance","BURLINGTON 8",3706,2085,1189,14,129,208,81,596,3110,1188,30,9,20,333,205,2790,1695,818,9,91,132,45,383,2407,810,22,5,11,218,131,2000,1351,611,0,38,1142,506,2,350,593,466,2,290,525,32,0,54,0,0,0,0,24,8,0,6,820,1180,206,758,665,371,362,171,10,61,61,83,61,7,15,5,7,15,459,224,13,443,225,412,228,0,327,48,419,261,0,409,261,0
"37.001.0031","Alamance","BURLINGTON 9",1630,1512,37,8,46,15,12,31,1599,41,12,0,0,15,15,1259,1174,26,8,30,14,7,26,1233,26,11,0,0,11,14,1186,1139,32,0,15,440,534,2,210,406,529,2,202,23,2,0,7,0,0,0,0,11,3,0,1,564,622,69,399,502,216,112,228,9,25,29,37,22,6,27,3,15,34,159,280,6,161,272,125,289,0,382,14,149,316,0,120,320,0
"37.001.0032","Alamance","EAST BURLINGTON",3375,2101,741,28,71,353,81,625,2750,757,37,3,5,243,352,2525,1684,499,15,46,231,50,409,2116,500,23,3,3,154,231,1598,1232,345,0,21,826,487,1,284,542,465,1,224,276,14,0,55,0,0,0,0,8,8,0,5,702,896,134,555,616,293,254,225,11,47,48,72,32,6,23,2,4,24,352,291,15,351,289,323,294,0,374,47,323,330,0,332,314,0
"37.001.0033","Alamance","NORTH BURLINGTON",6221,2117,3478,24,85,419,98,862,5359,3480,37,27,24,391,416,4695,1729,2559,19,50,270,68,567,4128,2552,30,22,15,260,269,3135,1046,2063,0,26,2380,376,4,375,540,284,2,220,1824,87,2,150,0,0,0,0,16,5,0,5,1248,1887,258,954,1223,700,912,200,13,205,123,223,171,25,11,1,4,14,1099,225,10,1100,215,1075,228,0,279,42,1099,262,0,1073,245,0
"37.001.0034","Alamance","SOUTH BURLINGTON",2383,1263,860,6,28,190,36,306,2077,872,12,5,1,108,186,1661,1006,500,4,23,118,10,197,1464,499,9,3,1,76,118,1118,733,368,0,17,670,263,2,183,347,239,1,146,312,21,1,34,0,0,0,0,11,3,0,3,450,668,78,444,375,221,185,126,6,44,30,49,36,6,9,1,4,8,259,144,4,248,144,239,145,0,208,41,242,171,0,239,163,0
"37.001.0035","Alamance","WEST BURLINGTON",2785,2411,219,6,19,104,26,137,2648,221,13,1,3,34,99,2211,1936,165,3,13,72,22,93,2118,167,10,1,2,22,69,2056,1943,93,0,20,961,755,1,339,878,742,1,322,75,5,0,13,0,0,0,0,8,8,0,4,900,1156,177,655,790,434,346,475,21,120,106,135,122,15,49,1,17,107,468,448,21,444,453,401,439,0,602,58,457,468,0,448,472,0
"37.001.0036","Alamance","BURLINGTON 10",2718,2220,351,5,47,74,21,149,2569,358,5,0,7,69,72,2098,1755,252,5,32,46,8,94,2004,253,5,0,3,45,45,1738,1566,157,0,15,683,696,3,356,540,687,3,336,136,3,0,18,0,0,0,0,7,6,0,2,764,974,200,696,601,241,282,341,12,44,42,58,47,4,30,4,20,48,389,402,17,344,437,320,431,0,592,75,345,466,0,326,459,0
"37.003.0037","Alexander","Ellendale",3195,3008,130,4,1,27,25,51,3144,133,16,0,7,17,26,2403,2269,104,4,1,12,13,29,2374,98,13,0,7,10,11,1587,1538,43,1,5,658,758,0,171,618,755,0,165,37,1,0,5,0,1,0,0,3,1,0,1,674,913,138,494,707,248,469,511,14,65,49,54,69,4,72,3,6,41,394,606,14,365,629,391,586,311,675,18,0,654,84,0,645,0
"37.003.0038","Alexander","Millers",2247,2014,161,1,37,27,7,64,2183,158,2,0,7,32,25,1632,1461,126,1,20,20,4,43,1589,123,2,0,5,18,20,1120,1027,89,0,4,594,405,1,120,510,402,1,114,82,3,0,4,0,0,0,0,2,0,0,2,485,635,78,454,466,122,222,231,11,30,20,31,23,2,26,2,4,16,239,320,7,222,336,239,314,204,346,11,0,347,0,0,359,0
"37.003.0039","Alexander","Wittenburg",1929,1871,14,0,37,0,7,21,1908,14,3,0,0,20,0,1459,1424,10,0,19,0,6,13,1446,10,3,0,0,12,0,936,934,1,0,1,278,518,1,139,277,517,1,139,1,0,0,0,0,0,0,0,0,1,0,0,427,509,72,291,444,129,214,405,12,32,18,33,23,2,57,0,12,23,226,436,9,195,466,202,449,164,485,15,0,486,0,0,488,0
"37.003.0040","Alexander","Bethlehem 1",3342,3252,10,4,54,10,12,30,3312,14,6,0,0,19,10,2592,2542,8,4,25,7,6,24,2568,8,6,0,0,16,7,1951,1935,6,1,9,548,1092,2,309,544,1086,2,303,2,2,0,2,0,0,0,1,2,4,0,3,845,1106,134,701,892,224,325,668,34,37,35,28,50,2,77,5,12,70,408,942,29,389,988,393,950,276,1066,26,0,1021,0,0,1053,0
"37.003.0041","Alexander","Bethlehem 2",3973,3808,25,0,82,20,38,59,3914,28,17,0,2,35,19,2972,2895,14,0,37,9,17,34,2938,14,9,0,0,24,9,3757,3639,105,1,12,1228,2020,2,507,1131,2010,2,496,93,7,0,5,0,0,0,1,4,3,0,5,1808,1949,212,1358,1759,428,332,701,36,45,40,37,62,2,73,4,14,73,404,935,23,344,991,359,960,264,1051,26,0,1013,0,0,1038,0
"37.003.0042","Alexander","Gwaltney 1",963,952,0,0,0,9,2,14,949,0,1,0,0,5,9,722,714,0,0,0,6,2,9,713,0,1,0,0,3,6,563,559,1,1,2,255,253,0,55,252,253,0,54,1,0,0,0,0,0,0,1,2,0,0,0,272,291,47,166,251,99,143,177,9,25,17,18,25,5,14,0,3,10,136,217,4,133,218,139,207,107,239,6,0,236,0,0,225,0
"37.003.0043","Alexander","Gwaltney 2",1181,1089,40,1,0,40,11,67,1114,44,2,0,0,22,40,894,824,35,1,0,27,7,48,846,35,2,0,0,16,27,418,405,12,0,1,229,150,0,39,220,148,0,37,9,1,0,2,0,0,0,0,0,1,0,0,200,218,44,135,192,47,229,169,7,40,26,32,40,4,19,0,4,23,247,196,5,241,205,253,185,211,226,3,0,213,0,0,225,0
